Departure Time; Delay (mins)
14:10;9
14:25;1
14:40;7
14:55;0
14:10;0
14:25;0
14:40;0
14:55;0
14:10;2
14:25;0
14:40;0
14:55;9
14:10;1
14:25;0
14:40;3
14:55;0
14:10;5
14:25;0
14:40;5
14:55;0
14:10;0
14:25;0
14:40;0
14:55;0
14:10;1
14:25;0
14:40;0
14:55;3
14:10;2
14:25;0
14:40;9
14:55;2
14:10;1
14:25;4
14:40;7
14:55;0
14:10;6
14:25;0
14:40;0
14:55;10
14:10;0
14:25;2
14:40;0
14:55;0
14:10;10
14:25;8
14:40;6
14:55;8
14:10;0
14:25;0
14:40;0
14:55;0
14:10;5
14:25;6
14:40;0
14:55;0
14:10;0
14:25;0
14:40;4
14:55;6
14:10;0
14:25;0
14:40;0
14:55;1
14:10;0
14:25;0
14:40;0
14:55;0
14:10;0
14:25;9
14:40;0
14:55;5
14:10;0
14:25;7
14:40;0
14:55;0
14:10;0
14:25;4
14:40;9
14:55;0
14:10;0
14:25;10
14:40;0
14:55;0
14:10;0
14:25;9
14:40;0
14:55;0
14:10;0
14:25;3
14:40;0
14:55;0
14:10;4
14:25;0
14:40;5
14:55;9
14:10;0
14:25;1
14:40;4
14:55;4
14:10;7
14:25;3
14:40;0
14:55;9
14:10;0
14:25;5
14:40;8
14:55;0
14:10;0
14:25;2
14:40;0
14:55;0
14:10;0
14:25;5
14:40;0
14:55;0
14:10;2
14:25;2
14:40;0
14:55;2
14:10;7
14:25;8
14:40;0
14:55;0
14:10;0
14:25;0
14:40;0
14:55;2
14:10;0
14:25;10
14:40;0
14:55;4
14:10;2
14:25;0
14:40;0
14:55;0
14:10;4
14:25;0
14:40;0
14:55;10
14:10;0
14:25;0
14:40;0
14:55;0
14:10;0
14:25;0
14:40;0
14:55;0
14:10;0
14:25;10
14:40;5
14:55;0
14:10;1
14:25;7
14:40;6
14:55;0
14:10;0
14:25;0
14:40;0
14:55;0
14:10;0
14:25;0
14:40;7
14:55;0
14:10;3
14:25;0
14:40;0
14:55;0
14:10;0
14:25;0
14:40;0
14:55;0
14:10;0
14:25;0
14:40;3
14:55;0
14:10;2
14:25;8
14:40;0
14:55;0
14:10;0
14:25;4
14:40;1
14:55;10
14:10;10
14:25;0
14:40;5
14:55;0
14:10;0
14:25;0
14:40;0
14:55;0
14:10;4
14:25;8
14:40;0
14:55;0
14:10;0
14:25;0
14:40;0
14:55;10
14:10;9
14:25;0
14:40;0
14:55;6
14:10;0
14:25;0
14:40;9
14:55;4
14:10;0
14:25;0
14:40;0
14:55;0
14:10;1
14:25;6
14:40;7
14:55;8
14:10;0
14:25;0
14:40;0
14:55;0
14:10;0
14:25;2
14:40;8
14:55;6
14:10;5
14:25;7
14:40;0
14:55;8
14:10;1
14:25;5
14:40;0
14:55;6
14:10;0
14:25;8
14:40;0
14:55;9
